CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1441620,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,6.0,2010.0,04/03/2010,New,31-60 years,60.0,,Street,24/08/2019,"(-37.7902360002993, 144.9345803512059)",-37.790236000299295,144.9345803512059,318136.46,5815449.19
1524958,Golden Wattle,Acacia pycnantha,Acacia,Fabaceae,,,,,,,,Park,24/08/2019,"(-37.788591000265086, 144.94773119763485)",-37.78859100026509,144.94773119763485,319290.53,5815657.24
1609401,unknown,Brachychiton populneus x acerifolious,Brachychiton,Malvaceae,5.0,2016.0,23/02/2016,,,,,Park,24/08/2019,"(-37.82013586329764, 144.9700976331491)",-37.82013586329764,144.9700976331491,321336.23,5812199.85
1518743,Aleppo Pine,Pinus halepensis,Pinus,Pinaceae,,2012.0,26/10/2012,,,,,Park,24/08/2019,"(-37.786963859501746, 144.95965178525327)",-37.786963859501746,144.95965178525327,320336.35,5815860.78
1675615,Swamp Sheoak,Casuarina obesa,Casuarina,Casuarinaceae,,2017.0,30/10/2017,,,,,Park,24/08/2019,"(-37.79466114654617, 144.91303065434965)",-37.794661146546176,144.91303065434963,316249.73,5814915.99
1527497,Narrow-leaved Bottlebrush,Callistemon linearis,Callistemon,Myrtaceae,,2012.0,27/04/2012,,,,,Park,24/08/2019,"(-37.802807717574446, 144.92498309161655)",-37.80280771757445,144.92498309161655,317322.29,5814035.43
1062823,Pin Oak,Quercus palustris,Quercus,Fagaceae,2.0,2005.0,17/10/2005,Juvenile,61+ years,80.0,,Park,24/08/2019,"(-37.82312396321709, 144.97337130122943)",-37.82312396321709,144.97337130122943,321631.59,5811874.53
1051699,Yellow Gum,Eucalyptus leucoxylon,Eucalyptus,Myrtaceae,,1998.0,23/12/1998,,,,,Park,24/08/2019,"(-37.78488997936895, 144.9551571899157)",-37.784889979368955,144.9551571899157,319935.5,5816082.26
1520272,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,,,,,,,,Park,24/08/2019,"(-37.78384711009963, 144.9450124999839)",-37.783847110099636,144.9450124999839,319039.54,5816178.39
1042021,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,19/11/1998,,,,,Park,24/08/2019,"(-37.791342898127404, 144.9505190193753)",-37.79134289812741,144.9505190193753,319542.73,5815357.26
1358476,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,19.0,2009.0,02/07/2009,Semi-Mature,31-60 years,60.0,,Park,24/08/2019,"(-37.819349600526664, 144.94712433001337)",-37.81934960052666,144.94712433001337,319312.08,5812242.9
1523870,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,,2012.0,27/04/2012,,,,,,24/08/2019,"(-37.779610396630524, 144.9398740203613)",-37.77961039663053,144.93987402036132,318576.64,5816638.56
1289532,London Plane,Platanus x acerifolia,Platanus,Platanaceae,16.0,,,Juvenile,31-60 years,60.0,,Street,24/08/2019,"(-37.80763293333984, 144.9435419118509)",-37.807632933339846,144.9435419118509,318968.11,5813536.12
1037033,London Plane,Platanus x acerifolia,Platanus,Platanaceae,104.0,1998.0,29/10/1998,Mature,11-20 years,20.0,,Park,24/08/2019,"(-37.80672420327166, 144.9709926645419)",-37.806724203271656,144.9709926645419,321382.69,5813689.8
1663385,Judas Tree,Cercis siliquastrum,Cercis,Fabaceae,,2017.0,15/05/2017,,,,,Street,24/08/2019,"(-37.826152280546, 144.95891094772918)",-37.826152280546,144.95891094772918,320366.11,5811510.77
1549074,Algerian Oak,Quercus canariensis,Quercus,Fagaceae,,2013.0,13/09/2013,,,,,Street,24/08/2019,"(-37.789115748493096, 144.93456487478025)",-37.789115748493096,144.93456487478025,318132.35,5815573.47
1455565,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,2.0,2010.0,31/08/2010,New,61+ years,80.0,,Park,24/08/2019,"(-37.7998272040674, 144.9409153758169)",-37.7998272040674,144.9409153758169,318717.78,5814397.2
1016858,Broad-leaf Tea-tree,Melaleuca quinquenervia,Melaleuca,Myrtaceae,64.0,1900.0,02/01/2000,Mature,21-30 years,30.0,,Street,24/08/2019,"(-37.79664306258977, 144.93377274211247)",-37.79664306258977,144.93377274211247,318081.06,5814736.65
1455567,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,2.0,2010.0,31/08/2010,New,61+ years,80.0,,Park,24/08/2019,"(-37.79983239989192, 144.94098575986598)",-37.79983239989192,144.94098575986598,318723.99,5814396.76
1525849,Desert Ash,Fraxinus angustifolia,Fraxinus,Oleaceae,,,,,,,,Park,24/08/2019,"(-37.78163554166032, 144.9458707251546)",-37.78163554166032,144.94587072515458,319109.73,5816425.46
1664210,Coastal Banksia,Banksia integrifolia,Banksia,Proteaceae,,2017.0,23/06/2017,,,,,Park,24/08/2019,"(-37.79497778951341, 144.91364952646015)",-37.7949777895134,144.91364952646015,316305.01,5814882.07
1021733,London Plane,Platanus x acerifolia,Platanus,Platanaceae,41.0,1900.0,02/01/2000,Mature,11-20 years,20.0,,Street,24/08/2019,"(-37.797785039119674, 144.9660811222663)",-37.79778503911968,144.9660811222663,320928.68,5814672.34
1742994,Lemon Scented Gum,Corymbia citriodora,Corymbia,Myrtaceae,,2018.0,03/07/2018,,,,,Street,24/08/2019,"(-37.815912789079235, 144.97304382966234)",-37.81591278907924,144.97304382966234,321585.4,5812674.1
1047723,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,12/11/1998,,,,,Park,24/08/2019,"(-37.790311448710305, 144.94432149119328)",-37.79031144871031,144.94432149119328,318994.46,5815459.73
1044216,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,26/11/1998,,,,,Park,24/08/2019,"(-37.79080914244134, 144.94977928559442)",-37.79080914244135,144.94977928559442,319476.29,5815415.06
1358758,London Plane,Platanus x acerifolia,Platanus,Platanaceae,18.0,2009.0,04/07/2009,Semi-Mature,11-20 years,20.0,,Street,24/08/2019,"(-37.8193792792195, 144.9534726305698)",-37.8193792792195,144.95347263056982,319870.97,5812251.87
1050918,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,,1998.0,21/12/1998,,,,,Park,24/08/2019,"(-37.77849999924591, 144.95465432858916)",-37.77849999924591,144.95465432858916,319875.7,5816790.36
1037271,Firewheel Tree,Stenocarpus sinuatus,Stenocarpus,Proteaceae,26.0,1998.0,29/10/1998,Mature,21-30 years,30.0,,Park,24/08/2019,"(-37.80640172948324, 144.96998685599772)",-37.80640172948324,144.96998685599772,321293.36,5813723.66
1044012,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,1998.0,25/11/1998,,,,,Street,24/08/2019,"(-37.79177083661876, 144.9500771421602)",-37.79177083661876,144.95007714216018,319504.86,5815308.92
1523735,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,,,,,,,,Park,24/08/2019,"(-37.78343360505258, 144.94482399742546)",-37.78343360505258,144.94482399742546,319021.93,5816223.91
1025325,London Plane,Platanus x acerifolia,Platanus,Platanaceae,23.0,1997.0,20/11/1997,Semi-Mature,6-10 years (>50% canopy),10.0,,Street,24/08/2019,"(-37.80886456973278, 144.96924015835535)",-37.80886456973278,144.96924015835538,321233.56,5813448.94
1518385,Japanese Zelkova,Zelkova serrata,Zelkova,Ulmaceae,,2012.0,08/10/2012,,,,,Street,24/08/2019,"(-37.794284934418926, 144.95598224711043)",-37.79428493441893,144.95598224711046,320030.96,5815041.33
1357913,Weeping Myrtle,Syzygium floribundum,Syzygium,Myrtaceae,7.0,2008.0,15/12/2008,Juvenile,21-30 years,30.0,,Street,24/08/2019,"(-37.81347815992999, 144.96210535787984)",-37.81347815992999,144.96210535787984,320616.59,5812923.31
1026261,Brush Box,Lophostemon confertus,Lophostemon,Myrtaceae,48.0,1997.0,24/11/1997,Mature,31-60 years,60.0,,Street,24/08/2019,"(-37.811144085847054, 144.9901441890074)",-37.811144085847054,144.99014418900742,323079.36,5813235.79
