CoM ID,Common Name,Scientific Name,Genus,Family,Diameter Breast Height,Year Planted,Date Planted,Age Description,Useful Life Expectency,Useful Life Expectency Value,Precinct,Located in,UploadDate,CoordinateLocation,Latitude,Longitude,Easting,Northing
1522024,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,,,,,,,,Park,24/08/2019,"(-37.78212665765892, 144.9449910054502)",-37.78212665765892,144.9449910054502,319033.45,5816369.26
1674907,Grey Sheoak,Casuarina glauca,Casuarina,Casuarinaceae,,2017.0,26/09/2017,,,,,Park,24/08/2019,"(-37.80550812667481, 144.94254001253972)",-37.805508126674816,144.94254001253972,318874.71,5813769.96
1766405,Lightwood Wattle,Acacia implexa,Acacia,Fabaceae,,2019.0,05/07/2019,,,,,Park,24/08/2019,"(-37.7944951587305, 144.9149542088241)",-37.794495158730506,144.9149542088241,316418.7,5814938.19
1758013,Sweet Bursaria,Bursaria spinosa,Bursaria,Pittosporaceae,,2019.0,29/05/2019,,,,,Park,24/08/2019,"(-37.79416642691912, 144.95334095397106)",-37.79416642691912,144.95334095397106,319798.09,5815049.39
1017955,London Plane,Platanus x acerifolia,Platanus,Platanaceae,67.0,1997.0,20/10/1997,Mature,6-10 years (>50% canopy),10.0,,Street,24/08/2019,"(-37.80350816926042, 144.9581044834218)",-37.80350816926042,144.95810448342183,320240.2,5814021.95
1440747,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,,2009.0,04/12/2009,,,,,Park,24/08/2019,"(-37.782197161256896, 144.94961034599612)",-37.7821971612569,144.94961034599612,319440.45,5816370.37
1047197,Variegated Elm,Ulmus minor,Ulmus,Ulmaceae,44.0,1998.0,12/09/1998,Semi-Mature,11-20 years,20.0,,Park,24/08/2019,"(-37.78744775744186, 144.95475544696248)",-37.78744775744186,144.95475544696248,319906.33,5815797.66
1605532,Lightwood Wattle,Acacia implexa,Acacia,Fabaceae,,2015.0,28/10/2015,,,,,Street,24/08/2019,"(-37.80220303139257, 144.9305651075745)",-37.80220303139257,144.9305651075745,317812.28,5814113.43
1031007,Spotted Gum,Corymbia maculata,Corymbia,Myrtaceae,24.0,1900.0,02/01/2000,Semi-Mature,31-60 years,60.0,,Street,24/08/2019,"(-37.82120765655934, 144.91731280525892)",-37.821207656559345,144.91731280525892,316692.47,5811978.62
1766540,Cyprus Plane,Platanus orientalis,Platanus,Platanaceae,,2019.0,17/07/2019,,,,,Street,24/08/2019,"(-37.8197667643441, 144.962616974412)",-37.8197667643441,144.96261697441201,320676.85,5812226.47
1289801,Cyprus Plane,Platanus orientalis,Platanus,Platanaceae,13.0,,,Juvenile,6-10 years (>50% canopy),10.0,,Street,24/08/2019,"(-37.7937179070443, 144.9405156091137)",-37.7937179070443,144.9405156091137,318667.64,5815074.35
